#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
63.200000000031274,-32417.76662921798,-27411.508163675695,301.1325309344108
63.40000000003152,-32421.842600891134,-27479.86661082483,297.26586191041866
63.60000000003176,-32497.57410726676,-27443.91504706096,303.98373431055813
63.80000000003201,-32389.255260467588,-27447.641697798914,297.244061461984
64.00000000003224,-32557.679567893094,-27561.48523353791,300.52716121231447
64.20000000003178,-32773.93971531905,-27547.488256680517,314.3774070752424
64.40000000003131,-32390.56056260597,-27449.84781066375,297.1898766020099
64.60000000003085,-32236.570792396727,-27379.699861689645,292.1466891596386
64.80000000003038,-32348.492667396727,-27432.78853118213,295.6855779723926
65.00000000002991,-32464.175583554344,-27491.09139758619,299.13705770048904
65.20000000002945,-32453.245547403232,-27498.42165734677,298.0386787092031
65.40000000002898,-32484.771746728948,-27692.195123129903,288.2793084485989
65.60000000002852,-32525.37605049365,-27690.44890406748,290.8267438663078
65.80000000002805,-32307.86042549365,-27592.014617314533,283.6638566481971
66.00000000002758,-32369.805047018774,-27504.553470884304,292.6507951673055
66.20000000002712,-32423.962143836252,-27536.879868812568,293.9639382368901
66.40000000002665,-32406.747722832486,-27625.44759426359,287.6010135679269
66.60000000002618,-32555.177236853488,-27581.330842680618,299.1829054503336
66.80000000002572,-32481.487413423485,-27481.75574189145,300.73993634251707
67.00000000002525,-32622.700719224726,-27588.249046907615,302.82838658583114
67.20000000002479,-32537.30737061292,-27667.235871010285,292.9407194216901
67.40000000002432,-32646.019998513482,-27755.39336389056,294.1771357743339
67.60000000002385,-32654.74415175413,-27750.787533178285,294.97895050936745
67.80000000002339,-32636.803989398264,-27661.82722760082,299.25089843671594
68.00000000002292,-32589.824311956094,-27656.42331867598,296.75006543231956
68.20000000002246,-32443.724484461505,-27594.855397071835,291.6653685592545
68.40000000002199,-32435.084375955194,-27554.823058677168,293.55364933880696
68.60000000002152,-32345.889063455194,-27370.960396805574,299.24800545512306
68.80000000002106,-32225.253590553824,-27255.713506421365,298.9238756678358
69.00000000002059,-32240.612511757616,-27223.09121560896,301.8100038833858
69.20000000002013,-32284.97692266063,-27248.787738960265,302.9329000071752
69.40000000001966,-32272.77379766063,-27273.21125471595,300.7297630524415
69.6000000000192,-31990.076028809533,-27074.44314494962,295.6812920566636
69.80000000001873,-32134.949366927118,-27018.9406634052,307.7341411311151
70.00000000001826,-32138.711020576273,-27045.332362958667,306.3729163671058
70.2000000000178,-32338.71360262364,-27230.25883497644,307.2797627077622
70.40000000001733,-32311.007222111453,-27179.250726025668,308.68138999252074
70.60000000001686,-32115.600972111453,-27165.769287021016,297.7383915133443
70.8000000000164,-32259.650597442116,-27155.335017409816,307.030785542267
71.00000000001593,-32017.6950219149,-27021.848127514706,300.5062622767694
71.20000000001546,-32255.477398588555,-27003.858991132816,315.8912296326242
71.400000000015,-32131.468884680507,-27071.514133538672,304.36242777167257
71.60000000001453,-32020.416537290672,-27127.36440727522,294.32303226996004
71.80000000001407,-32071.205019740242,-27253.072582662426,289.81652168797103
72.0000000000136,-32475.041588560212,-27402.05547668645,305.14627995703887
72.20000000001313,-32374.217149977194,-27418.27187743745,298.1061312284168
72.40000000001267,-32339.5658706245,-27250.054817276075,306.14027526991765
72.6000000000122,-32152.905342536804,-27258.69299268868,294.3928209029397
72.80000000001174,-32078.945125792496,-27183.421108806593,294.47171927537926
73.00000000001127,-32177.710750792496,-27148.593633681856,302.50750660694257
73.2000000000108,-32162.887589898834,-27142.396372594812,301.9886482503011
73.40000000001034,-31972.169290723046,-26831.965041281655,309.18953262362794
73.60000000000987,-31908.978728074,-26715.265669326647,312.4081525339855
73.8000000000094,-32095.588372468337,-26897.78239562534,312.654346531665
74.00000000000894,-31954.050294677727,-26760.08643947891,312.4232382453405
74.20000000000847,-32023.85961000895,-26820.83214413229,312.9684254428469
74.400000000008,-32115.808057704795,-26942.181188569724,311.1999438175546
74.60000000000754,-32134.97915623241,-26838.025416969293,318.61820493800894
74.80000000000707,-32281.439366834064,-26991.99037997407,318.16678496024633
75.00000000000661,-32257.380940915376,-27134.441542427812,308.15103085634695
75.20000000000614,-32321.53252883302,-27267.921148441266,303.9808663117969
75.40000000000568,-32509.664040931966,-27410.700693356805,306.7088422552672
75.60000000000521,-32192.33862979582,-27217.779524723883,299.22577587708804
75.80000000000474,-32379.29956729582,-27320.85372547817,304.2716650420074
76.00000000000428,-32461.631946309237,-27199.702551791677,316.51144803559504
76.20000000000381,-32211.01296363122,-27238.03253010966,299.13081686473345
76.40000000000335,-32451.808908014646,-27477.50486795706,299.21043340648777
76.60000000000288,-32676.104613248055,-27658.868914535764,301.7928248504948
76.80000000000241,-32549.501057697198,-27660.196556512936,294.09760784117634
77.00000000000195,-32713.949131684232,-27736.73971729711,299.38519520338406
77.20000000000148,-32597.149760545988,-27609.49790218525,300.0133208993624
77.40000000000101,-32650.548905496078,-27644.15400688449,301.1407375493399
77.60000000000055,-32584.897998097673,-27633.62290149796,297.8252144698415
77.80000000000008,-32483.829270190734,-27613.113011303067,292.979502476277
77.99999999999962,-32611.1257961675,-27511.875963860046,306.7260746600867
78.19999999999915,-32655.90350476306,-27705.577729921584,297.768111612349
78.39999999999868,-32667.07491167399,-27696.769508559693,298.9699105347048
78.59999999999822,-32548.33239528045,-27577.71656314211,298.9885832177733
78.79999999999775,-32399.994655184884,-27559.362484541925,291.16990800640735
78.99999999999729,-32268.278955917107,-27387.74174612225,293.5702446089935
79.19999999999682,-32265.998790427868,-27153.875431804277,307.5004329135231
79.39999999999635,-32325.932351133437,-27127.573919443064,312.687577362147
79.59999999999589,-32245.792277284025,-27298.208806225157,297.60315870703425
79.79999999999542,-32096.316320184647,-27213.525862502895,293.7057802078192
79.99999999999496,-32262.223543046683,-27325.69323771115,296.9382973555847
80.19999999999449,-32148.288506932673,-27187.577027221792,298.3928243822525
80.39999999999402,-32408.70027534716,-27345.918591332214,304.5324712196329
80.59999999999356,-32559.412106093107,-27484.87559460764,305.2395383779226
80.79999999999309,-32401.842531705333,-27496.462420117634,295.0645753440374
80.99999999999262,-32615.84237239472,-27654.32532046977,298.44128052996103
81.19999999999216,-32516.806851668196,-27578.417811310763,297.0501025261197
